UML ID	Group Name	Parent Company	Mill Name	RSPO Certification	Latitude	Longitude	Country	Province	District
PO1000006246	J.A. WATTIE (JAWA)	KINTAP JAYA WATTINDO	KINTAP JAYA WATTINDO	Not Certificated	-3.898528	115.205067	Indonesia	Kalimantan Selatan	Tanah Laut
PO1000006247	UNKNOWN	MULTIAGRO SUMATERAJAYA	MULTIAGRO SUMATERAJAYA (PULAU DOGOM)	Not Certificated	2.567509	99.578451	Indonesia	Sumatera Utara	Labuhanbatu Utara
PO1000006249	SINAR ALAM	CITRA PUTRA KEBUN ASRI	JORONG FACTORY	Not Certificated	-3.943611	114.953333	Indonesia	Kalimantan Selatan	Tanah Laut
PO1000006251	GOLDEN PLANTATION	BUMIRAYA INVESTINDO	BUMIRAYA INVESTINDO	Not Certificated	-3.965556	116.098611	Indonesia	Kalimantan Selatan	Kota Baru
PO1000006257	PERMATA HIJAU	NUBIKA JAYA	NUBIKA JAYA	MB	1.948333	100.101136	Indonesia	Sumatera Utara	Labuhanbatu Selatan
PO1000006258	SALIM GROUP	SALIM IVOMAS PRATAMA	BALAM	Not Certificated	1.762078	100.620861	Indonesia	Riau	Rokan Hilir
PO1000006259	FIRST RESOURCES	MERIDAN SEJATISURYA PLANTATION	MERIDAN SEJATI SURYA PLANTATION BANGSAL ACEH	Not Certificated	1.7235	101.3789444	Indonesia	Riau	Dumai
PO1000006261	PH PALM EXPRESS CORPORATION	PH PALM EXPRESS SDN BHD	FRUIT EXPRESS	Not Certificated	1.597422	104.213328	Malaysia	Johor	Kota Tinggi
PO1000006264	PTPN III	PERKEBUNAN NUSANTARA III	HAPESONG	MB	1.4519833	99.068467	Indonesia	Sumatera Utara	Tapanuli Selatan
PO1000006266	TRIPUTRA AGRO PERSADA	YUDHA WAHANA ABADI	YUDHA WAHANA ABADI	Not Certificated	1.44075	117.2127	Indonesia	Kalimantan Timur	Berau
PO1000006268	FIRST RESOURCES	PANCASURYA AGRINDO	TAMBUSAI	MB	1.157186	100.508333	Indonesia	Riau	Rokan Hulu
PO1000006269	PERMATA HIJAU	VICTORINDO ALAM LESTARI	UNIT PABRIK HUTALOMBANG	"IP, MB"	1.139533	99.76809	Indonesia	Sumatera Utara	Padang Lawas
PO1000006293	SALIM GROUP	GUNTA SAMBA	AMPENAS	Not Certificated	1.213515	117.80838	Indonesia	Kalimantan Timur	Kutai Timur
PO1000006294	SINAR JAYA AGRO INVESTAMA (SJAI)	KALIREJO LESTARI	KALIREJO LESTARI	Not Certificated	-5.228708	104.948211	Indonesia	Lampung	Lampung Tengah
PO1000006295	SINAR JAYA AGRO INVESTAMA (SJAI)	ANAKTUHA SAWIT MANDIRI	ANAK TUHA SAWIT MANDIRI	Not Certificated	-5.095458	105.186819	Indonesia	Lampung	Lampung Tengah
PO1000006301	SINAR JAYA AGRO INVESTAMA (SJAI)	SINAR JAYA INTI MULYA	SINAR JAYA INTI MULYA	Not Certificated	-5.0665	105.302	Indonesia	Lampung	Metro
PO1000006304	MUKAH KILANG KELAPA SAWIT SDN BHD	MUKAH KILANG KELAPA SAWIT SDN BHD	MUKAH KILANG KELAPA SAWIT	Not Certificated	2.906111	112.308611	Malaysia	Sarawak	Mukah
PO1000006305	LAM SOON (THAILAND)	UNITED PALM OIL INDUSTRY PUBLIC COMPANY LTD (UPOIC)	KRABINOI MILL	Not Certificated	8.194951	98.984378	Thailand	Krabi	Muang Krabi
PO1000006309	SALIM GROUP	KEBUN MANDIRI SEJAHTERA	MARIANGO	Not Certificated	-1.280942	116.636988	Indonesia	Kalimantan Timur	Penajam Paser Utara
PO1000006310	UNKNOWN	MEGA HIJAU LESTARI	MEGA HIJAU LESTARI	Not Certificated	-1.24075	116.645	Indonesia	Kalimantan Timur	Penajam Paser Utara
PO1000006312	DAABON GROUP	PALMA & TRABAJO S.A.S.	PALMA & TRABAJO SAS	Not Certificated	7.2384889	-73.800094	Colombia	Santander	Puerto Wilches
PO1000006313	INDUPALMA	PROCESADORA DE ACEITE ORO ROJO LTDA	PROCESADORA DE ACEITE ORO ROJO LTDA	Not Certificated	7.376089	-73.568536	Colombia	Santander	Sabana de Torres
